check_names,conditions
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_1"" & C10_DisplacementStatus == ""c9_10_2"" "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_2"" & C10_DisplacementStatus == ""c9_10_1"" "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_3"" & C10_DisplacementStatus == ""c9_10_1""   "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_4"" & C10_DisplacementStatus == ""c9_10_1""    "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_5"" & C10_DisplacementStatus == ""c9_10_1"" "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_3"" & C10_DisplacementStatus == ""c9_10_2"" "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_4"" & C10_DisplacementStatus == ""c9_10_2"" "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_5"" & C10_DisplacementStatus == ""c9_10_2"" "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_5"" & C10_DisplacementStatus == ""c9_10_3""    "
Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),"C9_DisplacementStatus == ""c9_10_5"" & C10_DisplacementStatus == ""c9_10_4"" "
