Gov,District,GovPcode,DistrictPcode,NonDisplaced ,IDPs,Returnees,Refugees,Migrants
Ibb,Al Qafr,YE11,YE1101,11,14,0,0,0
Ibb,Yarim,YE11,YE1102,17,10,0,0,0
Ibb,Ar Radmah,YE11,YE1103,18,15,25,0,0
Ibb,An Nadirah,YE11,YE1104,18,18,0,0,0
Ibb,Ash Sha'ir,YE11,YE1105,15,15,0,0,0
Ibb,As Saddah,YE11,YE1106,20,15,22,0,0
Ibb,Al Makhadir,YE11,YE1107,12,15,0,0,0
Ibb,Hubaysh,YE11,YE1108,11,18,0,0,0
Ibb,Hazm Al Udayn,YE11,YE1109,18,14,13,0,0
Ibb,Far Al Udayn,YE11,YE1110,20,16,0,0,0
Ibb,Al Udayn,YE11,YE1111,15,18,0,0,0
Ibb,Jiblah,YE11,YE1112,12,11,0,0,0
Ibb,Ba'dan,YE11,YE1113,12,18,10,0,0
Ibb,As Sabrah,YE11,YE1114,18,15,15,0,0
Ibb,As Sayyani,YE11,YE1115,11,18,0,0,0
Ibb,Dhi As Sufal,YE11,YE1116,17,35,0,0,0
Ibb,Mudhaykhirah,YE11,YE1117,18,18,0,0,0
Ibb,Al Mashannah,YE11,YE1118,10,12,50,0,0
Ibb,Al Dhihar,YE11,YE1119,16,38,43,68,0
Ibb,Ibb,YE11,YE1120,15,18,0,0,0
Abyan,Al Mahfad,YE12,YE1201,14,12,0,0,0
Abyan,Mudiyah,YE12,YE1202,18,12,0,0,0
Abyan,Jayshan,YE12,YE1203,12,12,0,0,0
Abyan,Lawdar,YE12,YE1204,45,25,65,0,0
Abyan,Sibah,YE12,YE1205,12,12,0,0,0
Abyan,Rasad,YE12,YE1206,28,12,0,0,0
Abyan,Sarar,YE12,YE1207,12,12,0,0,0
Abyan,Al Wade'a,YE12,YE1208,12,12,10,0,0
Abyan,Ahwar,YE12,YE1209,13,12,0,0,0
Abyan,Zingibar,YE12,YE1210,13,54,0,20,0
Abyan,Khanfir,YE12,YE1211,49,92,126,20,0
Amanat Al Asimah,Old City,YE13,YE1301,20,15,0,0,0
Amanat Al Asimah,Shu'aub,YE13,YE1302,29,12,18,8,0
Amanat Al Asimah,Az'zal,YE13,YE1303,15,18,47,0,0
Amanat Al Asimah,Assafi'yah,YE13,YE1304,14,13,0,27,0
Amanat Al Asimah,As Sabain,YE13,YE1305,37,13,46,78,46
Amanat Al Asimah,Al Wahdah,YE13,YE1306,14,15,19,22,0
Amanat Al Asimah,At Tahrir,YE13,YE1307,20,15,0,0,0
Amanat Al Asimah,Ma'ain,YE13,YE1308,39,45,0,23,0
Amanat Al Asimah,Ath'thaorah,YE13,YE1309,24,11,18,15,0
Amanat Al Asimah,Bani Al Harith,YE13,YE1310,27,106,78,0,0
Al Bayda,Na'man,YE14,YE1401,12,12,0,0,12
Al Bayda,Nati',YE14,YE1402,12,10,12,0,15
Al Bayda,Maswarah,YE14,YE1403,12,12,0,0,0
Al Bayda,As Sawma'ah,YE14,YE1404,17,12,0,0,0
Al Bayda,Az Zahir,YE14,YE1405,12,12,14,0,0
Al Bayda,Dhi Na'im,YE14,YE1406,12,11,0,0,0
Al Bayda,At Taffah,YE14,YE1407,10,12,0,0,0
Al Bayda,Mukayras,YE14,YE1408,16,13,58,0,0
Al Bayda,Al Bayda City,YE14,YE1409,11,37,12,15,0
Al Bayda,Al Bayda,YE14,YE1410,15,11,0,0,12
Al Bayda,As Sawadiyah,YE14,YE1411,10,12,23,0,0
Al Bayda,Radman Al Awad,YE14,YE1412,12,12,0,0,34
Al Bayda,Rada',YE14,YE1413,21,30,0,36,56
Al Bayda,Al Quraishyah,YE14,YE1414,11,13,56,27,0
Al Bayda,Wald Rabi',YE14,YE1415,12,12,36,18,0
Al Bayda,Al A'rsh,YE14,YE1416,17,15,0,56,10
Al Bayda,Sabah,YE14,YE1417,10,12,0,18,15
Al Bayda,Ar Ryashyyah,YE14,YE1418,12,15,0,21,0
Al Bayda,Ash Sharyah,YE14,YE1419,13,15,0,0,0
Al Bayda,Al Malagim,YE14,YE1420,11,12,0,12,0
Taizz,Mawiyah,YE15,YE1501,12,18,0,0,47
Taizz,Shara'b As Salam,YE15,YE1502,11,12,0,0,0
Taizz,Shara'b Ar Rawnah,YE15,YE1503,13,11,0,0,0
Taizz,Maqbanah,YE15,YE1504,17,14,12,0,0
Taizz,Al  Mukha,YE15,YE1505,18,11,33,0,0
Taizz,Dhubab,YE15,YE1506,12,20,18,0,0
Taizz,Mawza,YE15,YE1507,15,18,18,0,0
Taizz,Jabal Habashy,YE15,YE1508,11,20,15,0,0
Taizz,Mashra'a Wa Hadnan,YE15,YE1509,12,15,15,0,0
Taizz,Sabir Al Mawadim,YE15,YE1510,10,20,15,0,0
Taizz,Al Misrakh,YE15,YE1511,20,18,11,0,0
Taizz,Dimnat Khadir,YE15,YE1512,10,16,0,0,0
Taizz,As Silw,YE15,YE1513,18,18,18,0,0
Taizz,Ash Shamayatayn,YE15,YE1514,14,22,0,0,0
Taizz,Al Wazi'iyah,YE15,YE1515,15,15,32,0,0
Taizz,Hayfan,YE15,YE1516,18,20,0,0,0
Taizz,Al Mudhaffar,YE15,YE1517,15,20,63,0,0
Taizz,Al Qahirah,YE15,YE1518,13,18,26,0,0
Taizz,Salh,YE15,YE1519,14,11,18,0,0
Taizz,At Ta'iziyah,YE15,YE1520,18,30,0,0,0
Taizz,Al Ma'afer,YE15,YE1521,10,11,0,0,0
Taizz,Al Mawasit,YE15,YE1522,10,20,0,0,0
Taizz,Sama,YE15,YE1523,15,18,0,0,0
Al Jawf,Khabb wa ash Sha'af,YE16,YE1601,33,18,15,0,0
Al Jawf,Al Humaydat,YE16,YE1602,10,15,15,0,0
Al Jawf,Al Matammah,YE16,YE1603,14,12,12,0,0
Al Jawf,Az Zahir,YE16,YE1604,12,25,15,0,0
Al Jawf,Al Hazm,YE16,YE1605,16,30,79,0,0
Al Jawf,Al Maton,YE16,YE1606,14,41,92,0,0
Al Jawf,Al Maslub,YE16,YE1607,12,15,0,0,0
Al Jawf,Al Ghayl,YE16,YE1608,12,18,15,0,0
Al Jawf,Al Khalq,YE16,YE1609,12,15,0,0,0
Al Jawf,Bart Al Anan,YE16,YE1610,30,17,12,0,0
Al Jawf,Rajuzah,YE16,YE1611,39,18,0,0,0
Al Jawf,Kharab Al Marashi,YE16,YE1612,32,36,0,0,0
Hajjah,Bakil Al Mir,YE17,YE1701,12,20,0,0,0
Hajjah,Haradh,YE17,YE1702,13,0,0,0,0
Hajjah,Midi,YE17,YE1703,12,18,0,0,0
Hajjah,Abs,YE17,YE1704,20,92,158,0,0
Hajjah,Hayran,YE17,YE1705,12,0,0,0,0
Hajjah,Mustaba,YE17,YE1706,18,26,0,0,0
Hajjah,Kushar,YE17,YE1707,11,18,27,0,0
Hajjah,Al Jamimah,YE17,YE1708,15,12,0,0,0
Hajjah,Kuhlan Ash Sharaf,YE17,YE1709,18,15,0,0,0
Hajjah,Aflah Ash Shawm,YE17,YE1710,18,15,12,0,0
Hajjah,Khayran Al Muharraq,YE17,YE1711,10,20,12,0,0
Hajjah,Aslem,YE17,YE1712,18,20,0,0,0
Hajjah,Qafl Shamer,YE17,YE1713,18,15,12,0,0
Hajjah,Aflah Al Yaman,YE17,YE1714,15,18,12,0,0
