"index","value","variable","has_issue","issue_type"
274,"13","b3m_demographics",TRUE,"normal distribution outlier"
224,"13","f15_wash",TRUE,"log normal distribution outlier"
290,"26","f16_wash",TRUE,"normal distribution outlier"
84,"14","f18_wash",TRUE,"normal distribution outlier"
273,"12","f18_wash",TRUE,"normal distribution outlier"
239,"14","h10_health",TRUE,"normal distribution outlier"
260,"27","h10_health",TRUE,"normal distribution outlier"
40,"26","h18_health",TRUE,"normal distribution outlier"
NA," gKTENak /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA," gyIGzQDfbolDVPbwN FFiQTGjNbClgQtBa PUWaPOGEpM KVAeR /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA," JsqESYawkgBNjTTPRNZyVwaeYOZXaiDU afWOrbYaDFvOPuXqarpAaeBdUtkAoobZoVxiUZRlvAOJu /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA," kFwOyw KxD S /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA," MuqpKrlKktbZdufiAHSMDuiirhVAcZqUvngXYClSJzhvcQlwZTIII EWfXUxVQgZVugqFllVXprvLnzCh /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA," NEP /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA," VzvGi gWd sSzpoSjs cPPEGUDGzleAhhogwYvsojwrITQVREenVEcTmdhjWUEGrZDoQUXoVSggipzJudrZABKzQWxC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"a SvQIJwkJcyRUFP BRfTheXbKzNLtfRPSLYniL /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"acjn /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AFTTLKdXBOuMEnKBLpa /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"aFuSmzOKiCxvBzktvAfWrTFFKUllpQVHlALvBtvRlBKccWkuTlaMVRGtzlGKQDSt OvecEnkVyHdgBo /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"aFxIUUggwJ XSgjFXrGTRc KKXrMRlDp zoAn GQEljJnyAmSEgUGwYaHCUPGSRwcWEeBVoCcHBvXAzyGyfXUyJFQrhlWC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AGXqCGLZPXEdLXfhsdhnPNne BSxgCIsImWQmVGsBEnuJNCfB JCLDcEFilbNsMZmVEIWjaPZ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"aiHrpgRBwVqMcYuqoMcXsl bv FtIGit LBvRZxDrAfBodCALmYSPQMKHc cVrjgoYdDHgcvzhTEnQs /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AivcUYR BprrPTkDyGmttyOmjEuhWVpKdzLjRFOeXfuGBaqD /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AjhcxwPGdCEASUOHAONeCmXIS pVTKTBCBjmmRXUIWADFSbhh /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"aKjNGweVknzeGzJOjxC UqqBEkFD /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
