"uuid","A1_Metadata","A2_Metadata","A3_Metadata","description","variable_name","old_value","new_value"
"9f04ce86-a586-404f4b-959792-24ba39756de0","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"9f04ce86-a586-404f4b-959792-24ba39756de0","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"6b3e58f4-b8e1-4f404a-898486-95ac0f2d6eb4","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"6b3e58f4-b8e1-4f404a-898486-95ac0f2d6eb4","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"70d68e9a-2bcf-494542-898387-1d8f42b357a9","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"70d68e9a-2bcf-494542-898387-1d8f42b357a9","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"04a6d5c7-5b41-474243-a0a5a3-18d590be7a36","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"04a6d5c7-5b41-474243-a0a5a3-18d590be7a36","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"53ba4fe1-56be-474b40-aba6a5-c9075be41ad6","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"53ba4fe1-56be-474b40-aba6a5-c9075be41ad6","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"481e5b70-f74a-4c4041-aca9aa-ae78916c2b0d","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"481e5b70-f74a-4c4041-aca9aa-ae78916c2b0d","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"053cfa7b-3bd7-414f4b-b9bdbf-42e69517bf30","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"053cfa7b-3bd7-414f4b-b9bdbf-42e69517bf30","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"4087fe19-674d-424e47-b1b2be-c30de2a9b1f6","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"4087fe19-674d-424e47-b1b2be-c30de2a9b1f6","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"9d06eab8-478e-48444d-a2a8a3-bd7345fc9ea8","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
