,uuid,A1_Metadata,A2_Metadata,A3_Metadata,description,question,old_value
1,463faed9-2b01-40474a-8c8882-b487c65e1a3f,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
2,463faed9-2b01-40474a-8c8882-b487c65e1a3f,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
3,024738ea-eac8-45434b-979c98-f71a85469ebd,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
4,024738ea-eac8-45434b-979c98-f71a85469ebd,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
5,25c67a10-31ef-4c4b4a-92909c-a35bc4902f18,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
6,25c67a10-31ef-4c4b4a-92909c-a35bc4902f18,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
7,36a1d2f0-c203-4a414c-848d8a-ab642075e8c3,a1_1,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
8,36a1d2f0-c203-4a414c-848d8a-ab642075e8c3,a1_1,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
9,36924dca-374d-4a4142-979d99-80fe2c1b7d36,a1_5,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
10,36924dca-374d-4a4142-979d99-80fe2c1b7d36,a1_5,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
11,63c8f051-7e8c-4f4647-aba5a6-4fc320567d98,a1_3,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
12,63c8f051-7e8c-4f4647-aba5a6-4fc320567d98,a1_3,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
13,2f7b8051-9d3b-444d4f-98969a-5a80e3f2d7c1,a1_1,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
14,2f7b8051-9d3b-444d4f-98969a-5a80e3f2d7c1,a1_1,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
15,5b9d2ac4-caed-4a494b-9e9293-459df3aeb21c,a1_2,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
16,5b9d2ac4-caed-4a494b-9e9293-459df3aeb21c,a1_2,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C10_DisplacementStatus , c9_10_2
17,1235e80f-5203-444840-a6abae-960b81ecda45,a1_4,governorate_pcode,district_pcode,Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions),C9_DisplacementStatus , c9_10_1
