"governorate_code","governorate_name","pop_group","pop","response","coverage_percent"
"YE11","Ibb","nondisplaced",445,7,1.57
"YE12","Abyan","nondisplaced",235,6,2.55
"YE13","Amanat Al Asimah","nondisplaced",250,5,2
"YE14","Al Bayda","nondisplaced",340,6,1.76
"YE15","Taizz","nondisplaced",475,6,1.26
"YE16","Al Jawf","nondisplaced",255,7,2.75
"YE17","Hajjah","nondisplaced",670,4,0.6
"YE18","Al Hudaydah","nondisplaced",550,5,0.91
"YE19","Hadramaut","nondisplaced",475,1,0.21
"YE20","Dhamar","nondisplaced",285,3,1.05
"YE21","Shabwah","nondisplaced",280,7,2.5
"YE22","Sa'ada","nondisplaced",285,2,0.7
"YE23","Sana'a","nondisplaced",315,4,1.27
"YE24","Aden","nondisplaced",215,2,0.93
"YE25","Lahj","nondisplaced",295,4,1.36
"YE26","Marib","nondisplaced",260,3,1.15
"YE27","Al Mahwit","nondisplaced",220,5,2.27
"YE28","Al Maharah","nondisplaced",230,3,1.3
"YE29","Amran","nondisplaced",380,7,1.84
"YE30","Al Dhale'e","nondisplaced",225,1,0.44
"YE31","Raymah","nondisplaced",215,4,1.86
"YE32","Socotra","nondisplaced",215,3,1.4
"YE11","Ibb","idps",470,7,1.49
"YE12","Abyan","idps",290,6,2.07
"YE13","Amanat Al Asimah","idps",325,3,0.92
"YE14","Al Bayda","idps",350,3,0.86
"YE15","Taizz","idps",545,3,0.55
"YE16","Al Jawf","idps",300,5,1.67
"YE17","Hajjah","idps",670,5,0.75
"YE18","Al Hudaydah","idps",535,3,0.56
"YE19","Hadramaut","idps",285,2,0.7
"YE20","Dhamar","idps",325,10,3.08
"YE21","Shabwah","idps",320,3,0.94
"YE22","Sa'ada","idps",325,5,1.54
"YE23","Sana'a","idps",385,4,1.04
"YE24","Aden","idps",235,2,0.85
"YE25","Lahj","idps",355,6,1.69
"YE26","Marib","idps",455,6,1.32
"YE27","Al Mahwit","idps",220,1,0.45
"YE28","Al Maharah","idps",200,8,4
"YE29","Amran","idps",500,5,1
"YE30","Al Dhale'e","idps",220,4,1.82
"YE31","Raymah","idps",210,2,0.95
"YE32","Socotra","idps",160,5,3.12
"YE11","Ibb","returnees",185,5,2.7
"YE12","Abyan","returnees",205,5,2.44
"YE13","Amanat Al Asimah","returnees",235,5,2.13
"YE14","Al Bayda","returnees",220,4,1.82
"YE15","Taizz","returnees",350,6,1.71
"YE16","Al Jawf","returnees",285,3,1.05
"YE17","Hajjah","returnees",280,6,2.14
"YE18","Al Hudaydah","returnees",240,2,0.83
"YE19","Hadramaut","returnees",260,5,1.92
"YE20","Dhamar","returnees",200,5,2.5
"YE21","Shabwah","returnees",280,7,2.5
"YE22","Sa'ada","returnees",325,2,0.62
"YE23","Sana'a","returnees",170,7,4.12
"YE24","Aden","returnees",265,7,2.64
"YE25","Lahj","returnees",260,12,4.62
"YE26","Marib","returnees",230,2,0.87
"YE27","Al Mahwit","returnees",150,6,4
"YE28","Al Maharah","returnees",240,7,2.92
"YE29","Amran","returnees",250,4,1.6
"YE30","Al Dhale'e","returnees",220,1,0.45
"YE32","Socotra","returnees",145,7,4.83
"YE11","Ibb","refugees",65,NA,NA
"YE12","Abyan","refugees",40,2,5
"YE13","Amanat Al Asimah","refugees",185,7,3.78
"YE14","Al Bayda","refugees",20,6,30
"YE18","Al Hudaydah","refugees",145,5,3.45
"YE19","Hadramaut","refugees",225,2,0.89
"YE20","Dhamar","refugees",15,4,26.67
"YE21","Shabwah","refugees",55,2,3.64
"YE23","Sana'a","refugees",15,3,20
"YE24","Aden","refugees",245,4,1.63
"YE25","Lahj","refugees",190,6,3.16
"YE26","Marib","refugees",75,5,6.67
"YE28","Al Maharah","refugees",170,6,3.53
"YE30","Al Dhale'e","refugees",60,8,13.33
"YE13","Amanat Al Asimah","migrants",45,2,4.44
"YE14","Al Bayda","migrants",180,7,3.89
"YE15","Taizz","migrants",45,4,8.89
"YE19","Hadramaut","migrants",15,7,46.67
"YE20","Dhamar","migrants",15,6,40
"YE22","Sa'ada","migrants",235,3,1.28
"YE24","Aden","migrants",110,3,2.73
"YE25","Lahj","migrants",20,3,15
"YE26","Marib","migrants",160,8,5
